,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2022-03-15,775.27001953125,805.5700073242188,756.5700073242188,801.8900146484375,22280400,150.89999389648438,155.57000732421875,150.3800048828125,155.08999633789062,92964300
2022-03-16,809.0,842.0,802.260009765625,840.22998046875,28009600,157.0500030517578,160.0,154.4600067138672,159.58999633789062,102300200
2022-03-17,830.989990234375,875.0,825.719970703125,871.5999755859375,22194300,158.61000061035156,161.0,157.6300048828125,160.6199951171875,75615400
2022-03-18,874.489990234375,907.8499755859375,867.3900146484375,905.3900146484375,33471400,160.50999450683594,164.47999572753906,159.75999450683594,163.97999572753906,123511700
2022-03-21,914.97998046875,942.8499755859375,907.0900268554688,921.1599731445312,27327200,163.50999450683594,166.35000610351562,163.00999450683594,165.3800048828125,95811400
2022-03-22,930.0,997.8599853515625,921.75,993.97998046875,35289500,165.50999450683594,169.4199981689453,164.91000366210938,168.82000732421875,81532000
2022-03-23,979.9400024414062,1040.699951171875,976.4000244140625,999.1099853515625,40225400,167.99000549316406,172.63999938964844,167.64999389648438,170.2100067138672,98062700
2022-03-24,1009.72998046875,1024.489990234375,988.7999877929688,1013.9199829101562,22973600,171.05999755859375,174.13999938964844,170.2100067138672,174.07000732421875,90131400
2022-03-25,1008.0,1021.7999877929688,997.3200073242188,1010.6400146484375,20677200,173.8800048828125,175.27999877929688,172.75,174.72000122070312,80546200
2022-03-28,1065.0999755859375,1097.8800048828125,1053.5999755859375,1091.8399658203125,34168700,172.1699981689453,175.72999572753906,172.0,175.60000610351562,90371900
2022-03-29,1107.989990234375,1114.77001953125,1073.1099853515625,1099.5699462890625,24538300,176.69000244140625,179.00999450683594,176.33999633789062,178.9600067138672,100589400
2022-03-30,1091.1700439453125,1113.949951171875,1084.0,1093.989990234375,19955000,178.5500030517578,179.61000061035156,176.6999969482422,177.77000427246094,92633200
2022-03-31,1094.5699462890625,1103.1400146484375,1076.6400146484375,1077.5999755859375,16330900,177.83999633789062,178.02999877929688,174.39999389648438,174.61000061035156,103049300
2022-04-01,1081.1500244140625,1094.75,1066.6400146484375,1084.5899658203125,18012900,174.02999877929688,174.8800048828125,171.94000244140625,174.30999755859375,78699800
2022-04-04,1089.3800048828125,1149.9100341796875,1072.530029296875,1145.449951171875,27345300,174.57000732421875,178.49000549316406,174.44000244140625,178.44000244140625,76468400
2022-04-05,1136.300048828125,1152.8699951171875,1087.300048828125,1091.260009765625,26691700,177.5,178.3000030517578,174.4199981689453,175.05999755859375,73401800
2022-04-06,1073.469970703125,1079.0,1027.699951171875,1045.760009765625,29782800,172.36000061035156,173.6300048828125,170.1300048828125,171.8300018310547,89058800
2022-04-07,1052.3900146484375,1076.5899658203125,1021.5399780273438,1057.260009765625,26482400,171.16000366210938,173.36000061035156,169.85000610351562,172.13999938964844,77594700
2022-04-08,1043.2099609375,1048.43994140625,1022.4400024414062,1025.489990234375,18293300,171.77999877929688,171.77999877929688,169.1999969482422,170.08999633789062,76515900
2022-04-11,980.4000244140625,1008.469970703125,974.6400146484375,975.9299926757812,19785700,168.7100067138672,169.02999877929688,165.5,165.75,72246700
2022-04-12,997.6400146484375,1021.1900024414062,976.5999755859375,986.9500122070312,21992000,168.02000427246094,169.8699951171875,166.63999938964844,167.66000366210938,79265200
2022-04-13,981.0800170898438,1026.239990234375,973.0999755859375,1022.3699951171875,18373700,167.38999938964844,171.0399932861328,166.77000427246094,170.39999389648438,70618900
2022-04-14,999.2899780273438,1012.7100219726562,982.1900024414062,985.0,19444000,170.6199951171875,171.27000427246094,165.0399932861328,165.2899932861328,75237500
